7
23	0	0	0	0	0	0	0	30	0	42	0	41	0	0	14	7	15	25	17	0	36	12	49	0	26	39	13	40	10	0	21	0	11	0	31	0	37	0	29	9	0	0	27	0	22	45	0	44
8	30	0	42	16	41	0	24	14	0	15	25	17	1	36	12	49	2	26	39	13	40	10	0	0	43	11	0	0	33	0	0	29	0	48	19	0	0	0	0	0	0	0	0	35	0	46	38	18	
24	14	7	15	0	0	0	0	12	49	2	26	0	13	40	10	3	21	0	0	0	31	33	0	34	29	0	0	19	0	0	22	0	0	44	23	0	0	28	0	0	18	0	30	4	0	0	41	0	
36	12	0	0	26	39	0	40	0	3	21	43	11	47	0	0	37	34	29	0	48	0	27	20	22	0	0	0	23	0	0	28	0	38	0	8	30	4	42	0	0	0	0	0	0	15	25	17	1	
0	0	3	21	43	0	0	0	33	37	0	0	0	0	0	0	0	0	0	0	0	23	6	35	0	0	38	18	8	30	4	0	0	0	0	0	14	7	15	25	0	0	0	12	0	2	26	39	0	
0	0	0	34	29	0	0	0	0	0	0	0	5	44	0	0	35	28	0	38	0	0	0	4	42	16	0	0	24	0	7	0	0	0	0	0	0	0	2	26	39	13	40	10	3	0	0	11	0	
19	0	20	0	45	0	44	23	6	0	28	46	0	18	0	0	0	42	16	41	32	24	0	7	15	0	0	0	0	0	0	0	26	0	0	0	10	0	0	0	11	47	0	0	37	34	29	0	48	
6	35	28	0	0	0	0	30	4	0	0	0	32	0	14	0	15	0	17	0	24	0	0	2	26	39	13	36	0	3	21	0	11	47	40	0	0	34	0	0	0	0	0	0	22	0	5	44	19	
30	0	42	0	41	0	0	14	0	0	0	0	0	0	0	49	0	26	0	0	36	0	3	0	43	0	0	0	33	0	0	29	9	0	31	27	20	0	45	5	0	19	0	35	0	0	38	18	0	
14	7	0	0	17	1	0	12	0	2	26	39	0	36	10	3	21	43	0	47	0	0	0	0	29	0	48	0	27	20	0	45	5	44	0	0	0	28	0	38	18	0	0	0	0	0	0	32	8	
12	49	0	0	0	13	36	10	3	0	43	11	47	40	0	0	0	29	9	0	0	27	0	22	0	5	0	0	6	0	0	46	0	18	23	30	4	42	0	41	0	0	14	7	15	0	0	0	0	
0	0	21	0	11	47	0	0	37	34	0	0	0	0	0	0	0	0	0	0	19	0	0	28	0	0	18	0	30	0	42	0	41	0	8	0	0	0	25	0	0	0	0	49	2	26	0	13	0	
33	0	34	0	9	48	0	0	20	22	0	0	44	19	6	0	0	0	0	18	0	30	4	42	0	41	32	0	14	7	0	25	17	0	24	12	0	0	26	0	0	0	10	0	21	43	0	0	0	
27	0	22	45	0	44	19	6	0	0	46	0	18	23	0	0	42	16	41	0	8	0	7	0	25	17	0	24	0	49	2	0	39	13	0	0	0	0	0	11	0	0	0	0	34	0	0	48	0	
0	28	0	0	18	23	0	4	42	0	0	32	0	30	7	15	25	17	0	0	0	0	2	0	39	13	0	0	0	0	43	11	0	0	0	37	34	29	9	48	31	33	20	0	45	0	0	19	0	
4	42	16	0	32	0	30	7	15	0	0	1	24	14	0	0	0	0	0	36	12	0	21	43	11	0	40	0	0	0	29	0	0	31	0	0	22	0	5	44	19	0	35	28	0	38	18	0	0	
0	0	0	0	0	0	0	49	2	26	0	0	36	0	3	21	43	0	47	0	0	0	0	0	0	48	31	0	20	0	0	0	44	19	27	0	28	0	38	18	0	0	0	0	16	0	32	8	30	
49	0	26	0	0	0	0	0	0	43	0	0	0	10	0	34	0	0	48	31	0	20	22	45	0	0	0	27	0	0	46	38	0	23	0	4	0	16	0	0	0	30	7	15	25	0	1	0	14	
3	21	0	11	47	40	0	0	0	0	0	48	31	0	0	22	45	0	44	0	27	0	28	46	0	18	0	6	0	42	0	0	32	8	30	7	15	0	17	0	0	0	49	0	26	0	0	36	0	
0	0	0	9	0	31	0	20	0	45	0	0	0	27	35	0	46	38	18	23	6	0	0	0	0	32	0	0	0	15	25	0	0	0	0	0	0	0	0	13	0	12	3	21	43	11	0	0	10	
0	0	0	0	44	19	27	35	28	0	0	18	0	6	0	0	16	41	32	0	0	0	15	0	0	1	24	0	0	0	0	0	13	36	12	3	0	43	11	0	40	0	0	0	29	9	48	31	0	
0	0	38	18	0	6	0	0	16	41	32	0	0	0	0	25	0	0	0	14	0	2	26	39	0	0	12	0	21	43	11	0	0	0	0	34	0	9	0	0	33	37	22	0	0	0	0	0	20	
42	0	0	32	0	0	0	15	25	0	1	24	0	0	2	26	39	13	0	12	49	21	43	11	47	40	0	0	0	29	0	48	0	33	37	22	45	5	0	19	0	0	28	46	0	18	0	0	0	
15	25	0	0	24	0	0	2	26	0	13	0	12	49	21	0	11	0	0	10	3	0	0	0	0	31	33	37	0	45	0	0	19	27	20	28	0	38	0	0	0	0	42	0	0	0	8	0	4	
0	26	39	13	0	0	49	0	43	11	47	40	0	3	34	0	9	48	31	33	0	0	0	5	44	0	0	0	0	0	0	0	0	0	0	42	16	0	32	8	0	4	15	25	17	1	0	0	0	
0	0	11	0	0	0	0	34	29	9	0	0	0	37	22	45	5	0	19	0	0	0	0	0	0	0	6	35	0	0	0	32	8	0	0	0	25	17	0	0	14	0	2	0	0	0	0	0	49	
34	0	0	0	31	33	37	0	45	5	44	0	0	0	28	0	38	0	0	0	0	42	0	41	0	0	0	4	15	0	17	1	24	0	0	2	0	39	0	36	12	49	0	43	0	0	0	0	0	
