6
0	0	21	17	3	34	0	0	36	0	31	24	25	0	23	19	0	0	8	0	30	32	0	4	2	0	0	22	0	6	0	14	0	0	0	12
0	33	0	0	31	0	0	27	0	0	18	9	8	35	0	32	7	0	2	0	28	22	0	0	16	14	26	0	0	0	0	10	0	17	0	0	
25	0	0	0	18	0	0	0	0	32	0	4	0	20	0	0	11	6	0	14	26	0	0	0	5	0	0	0	0	34	0	0	0	29	31	24	
8	0	0	0	7	4	0	0	28	22	0	6	16	14	26	13	0	12	0	0	0	17	3	34	0	0	36	29	31	24	25	27	23	0	0	9	
2	0	0	22	0	6	0	14	26	0	1	0	0	10	21	17	3	0	0	0	36	0	31	24	0	27	23	0	18	9	0	35	0	0	7	4	
0	0	26	13	0	0	0	10	0	17	0	0	0	33	0	0	0	0	25	27	0	19	18	0	8	0	0	0	7	4	2	20	0	22	11	6	
0	0	0	3	0	5	33	36	29	0	24	0	27	23	0	0	9	0	0	0	0	7	4	0	20	28	0	11	0	0	14	26	0	0	0	16	
0	0	0	0	24	0	27	23	0	18	0	0	0	30	32	7	0	0	20	0	0	0	0	2	0	26	0	1	0	16	10	0	0	0	34	0	
27	0	0	0	0	25	0	30	0	0	0	8	20	0	0	11	6	0	14	0	0	0	0	16	0	21	0	3	0	5	0	36	0	31	0	15	
0	30	32	7	4	0	20	28	22	0	6	0	14	0	13	0	12	16	10	21	17	0	34	0	0	36	0	31	24	0	27	0	0	0	0	0	
20	0	22	0	0	2	14	0	0	1	0	16	10	0	17	3	34	5	33	36	29	0	24	0	27	0	19	18	9	25	0	30	0	0	0	8	
14	0	13	0	12	0	0	21	17	0	0	5	33	0	29	31	24	0	0	0	19	18	0	25	35	30	32	0	4	8	20	28	0	11	0	0	
0	0	3	0	5	0	0	29	31	24	0	33	0	19	0	0	25	27	0	32	0	0	8	0	0	22	0	0	2	20	26	0	0	12	16	14	
0	0	31	0	0	0	23	19	18	0	0	27	30	32	0	0	8	0	28	0	0	0	2	0	0	0	1	0	0	14	0	0	0	0	5	0	
0	19	0	0	25	0	0	32	0	4	0	0	0	0	0	6	2	0	0	0	1	0	16	14	0	0	0	0	0	0	36	29	31	0	0	33	
30	32	7	4	0	0	0	22	11	6	0	20	26	13	0	12	16	14	21	0	0	0	5	10	0	29	31	0	15	0	0	19	18	0	25	0	
28	22	0	6	2	20	26	13	0	0	0	0	0	0	3	0	0	0	0	29	0	24	0	0	0	19	18	0	0	27	30	0	7	4	0	0	
26	0	0	0	16	14	21	17	3	0	0	0	36	29	0	0	15	33	0	19	18	0	0	0	0	32	7	4	8	0	0	22	11	6	2	20	
0	3	34	0	0	0	29	0	24	0	0	36	0	18	9	0	0	23	32	7	4	8	35	30	0	0	6	0	20	28	0	0	0	16	14	26	
0	31	24	0	0	0	19	18	0	25	0	23	32	0	4	8	0	0	22	11	6	0	0	28	0	1	0	16	14	0	0	3	0	0	0	21	
19	0	9	0	27	0	0	7	4	0	0	0	22	0	0	0	20	28	0	1	0	0	14	0	17	0	0	5	10	0	29	31	24	0	0	36	
32	7	0	0	35	30	22	11	0	2	0	28	13	0	12	0	14	26	0	3	34	5	10	21	0	0	0	15	33	36	19	18	0	0	0	0	
0	11	0	0	20	0	0	1	12	0	14	26	0	0	34	0	0	0	29	0	24	0	0	36	0	0	9	25	0	23	0	7	4	0	0	30	
13	1	12	16	0	26	17	0	0	5	10	0	0	31	24	0	0	0	0	0	9	25	0	0	32	0	4	8	35	0	22	11	6	2	20	0	
0	34	5	10	21	0	0	24	0	0	0	0	18	0	25	0	0	0	7	0	8	35	0	32	11	0	2	20	0	22	0	12	16	14	0	0	
0	24	0	33	36	29	0	9	0	0	0	19	0	4	0	0	30	32	11	6	0	20	28	0	0	12	0	0	26	13	3	0	0	0	0	0	
18	0	0	0	23	0	7	0	0	0	0	0	11	0	2	0	0	22	1	12	16	14	26	13	3	34	0	0	21	0	31	24	15	33	0	29	
0	0	8	35	0	0	0	0	2	0	28	0	1	0	16	14	0	13	0	0	5	10	0	17	0	0	15	0	0	29	18	9	0	27	23	19	
0	6	0	0	0	22	1	0	0	14	26	13	3	0	0	0	0	17	0	0	15	33	36	0	18	9	25	0	23	19	7	0	8	0	30	32	
0	0	0	14	0	0	3	34	5	10	0	17	31	24	0	33	36	0	18	9	25	27	23	19	7	4	8	0	0	32	0	0	0	20	0	0	
34	5	0	21	17	3	24	15	33	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	6	0	20	0	22	0	12	16	0	0	13	0	
0	0	33	36	29	0	0	0	27	23	19	0	4	8	35	0	0	0	6	0	20	28	0	11	12	0	14	0	0	0	0	5	10	0	17	3	
9	0	27	23	19	18	0	8	35	0	0	7	6	2	0	0	22	11	0	16	14	26	13	0	0	0	0	0	17	3	0	15	0	0	29	0	
4	0	0	30	32	0	6	0	0	28	22	0	12	0	14	26	0	1	0	5	0	0	0	0	0	0	0	36	29	0	9	25	27	0	0	18	
6	0	0	0	0	0	0	16	0	0	13	1	0	5	0	21	0	3	0	15	0	36	29	31	0	25	27	0	19	0	0	8	0	0	32	7	
12	0	14	0	13	0	34	0	0	0	0	3	0	15	33	0	29	31	0	0	0	0	19	0	0	0	0	30	32	0	6	0	20	0	22	11	
