8
0	0	9	29	0	0	44	0	40	0	0	0	0	57	25	26	19	0	0	0	23	15	18	0	0	0	28	0	10	0	62	0	17	54	0	0	0	0	21	0	5	27	36	4	58	0	34	64	14	0	20	35	3	12	0	0	59	0	31	55	51	42	0	13
40	43	0	0	0	57	0	0	19	0	0	30	23	0	18	48	0	53	0	0	0	6	62	0	17	54	0	11	2	56	0	16	5	27	0	0	58	32	34	64	14	41	20	35	0	0	0	61	0	8	0	55	51	0	0	13	0	1	0	0	45	7	0	49	
19	0	0	0	0	15	0	0	39	53	28	0	0	0	62	63	0	0	0	0	0	56	21	16	0	0	36	0	0	0	34	0	14	0	20	35	0	12	0	0	59	0	0	0	51	0	0	0	38	1	0	0	0	0	44	49	40	43	0	0	0	0	25	26	
0	0	28	60	0	0	62	0	0	0	47	0	2	0	0	16	5	27	36	0	0	32	0	0	14	41	20	0	3	12	0	0	0	0	0	55	0	0	0	13	38	0	0	29	0	7	0	0	40	0	52	0	0	0	25	0	0	22	24	0	0	15	18	48	
0	54	0	11	0	56	21	16	5	27	36	0	58	0	34	0	14	41	20	0	0	0	37	61	0	0	31	55	0	42	0	13	38	1	0	29	45	0	44	49	0	43	0	50	46	0	0	26	0	0	24	30	23	15	0	48	0	0	28	60	0	0	0	63	
0	27	36	4	0	32	34	0	14	41	0	35	0	12	0	0	0	0	0	55	0	42	33	0	0	1	0	0	45	7	0	0	40	0	0	50	0	57	0	0	19	22	24	0	23	0	18	0	39	53	0	0	10	0	62	63	17	54	0	11	2	56	0	0	
0	0	0	35	0	12	0	0	59	0	31	55	51	0	0	13	0	0	9	0	45	7	0	49	40	43	52	0	46	57	25	0	0	0	0	30	0	0	0	0	39	0	0	0	10	6	0	0	0	0	0	11	2	56	21	16	0	0	0	0	0	0	0	64	
59	8	31	0	0	0	33	13	38	0	0	0	45	7	44	0	40	0	0	50	46	57	25	0	0	22	24	30	0	0	18	48	39	53	0	0	0	6	0	0	0	54	47	0	0	0	0	0	5	27	0	4	58	0	0	0	0	41	0	0	0	0	0	0	
0	9	0	45	7	44	49	38	0	52	0	46	0	25	0	40	0	24	30	0	0	18	0	0	53	28	60	0	6	0	0	0	0	47	11	2	56	21	16	0	27	0	0	58	32	34	64	0	41	20	35	3	12	0	0	14	8	0	55	51	42	0	0	0	
0	0	0	0	0	0	0	40	0	24	30	0	0	18	48	0	53	28	0	0	6	62	0	39	0	0	11	0	56	0	0	0	0	36	0	58	32	34	64	0	41	20	35	0	12	37	0	0	8	31	55	51	0	0	13	59	0	9	29	0	7	0	0	0	
0	24	0	0	15	18	48	19	53	28	60	0	6	0	63	0	0	47	0	2	0	21	0	17	27	0	4	58	32	0	0	0	0	0	0	0	0	0	0	0	8	0	55	51	42	33	0	59	1	0	29	45	0	0	49	0	43	52	50	46	0	0	26	40	
53	0	0	0	6	0	0	39	54	0	0	0	56	21	0	17	0	0	4	58	0	0	64	0	0	20	35	0	0	37	0	14	0	0	0	0	42	33	13	59	1	0	0	45	0	44	49	0	43	0	0	0	57	0	26	0	0	24	30	0	15	18	0	0	
0	47	0	0	0	0	0	0	27	0	0	0	0	0	64	0	41	20	35	3	0	0	61	0	0	31	55	51	42	0	0	0	0	9	29	45	0	44	0	0	0	52	0	46	57	0	26	40	0	24	0	0	0	0	48	0	0	28	0	10	0	62	0	39	
0	36	0	58	32	34	64	0	0	0	0	0	12	0	0	14	8	31	0	0	0	0	13	0	0	0	0	45	7	44	49	0	43	0	0	46	57	0	0	0	22	0	30	0	15	0	0	19	53	28	60	0	0	62	63	39	54	0	11	2	56	21	0	17	
41	20	0	3	12	37	0	14	0	0	0	51	42	33	13	59	1	9	29	0	0	44	0	0	43	0	0	46	57	25	26	40	22	0	30	23	15	0	0	0	53	28	0	10	0	62	0	0	54	0	0	0	0	21	16	0	27	0	0	58	0	34	64	5	
0	31	55	0	0	0	0	0	1	9	0	0	7	44	49	0	0	0	50	0	57	0	26	40	22	24	30	23	15	18	48	0	53	28	0	0	6	62	63	39	54	0	0	0	56	0	16	0	0	36	4	0	0	0	0	5	0	0	35	0	0	37	61	0	
9	0	45	7	0	49	38	1	0	0	0	0	0	0	0	43	0	0	0	0	18	48	0	0	0	0	10	6	0	0	0	0	47	0	2	56	0	16	17	54	36	0	58	0	34	0	0	0	20	35	3	0	37	0	14	0	31	0	0	0	33	13	0	8	
0	0	46	57	0	26	40	0	0	30	23	0	0	0	0	22	0	0	0	0	0	0	39	0	47	0	0	56	0	16	0	54	0	0	58	32	34	0	5	0	0	35	0	0	37	61	0	0	0	55	0	42	0	0	59	8	0	0	45	7	0	0	0	1	
0	0	23	0	18	48	19	22	0	0	0	0	0	63	39	0	47	0	0	0	0	0	0	54	36	4	58	0	0	0	0	27	0	35	0	0	37	61	0	0	0	55	51	0	33	0	59	8	9	0	45	0	0	0	0	0	0	50	0	0	0	26	0	43	
28	0	10	0	0	0	39	53	47	0	0	56	21	0	0	54	0	0	58	32	34	0	0	27	0	35	0	0	0	61	0	0	0	0	51	42	0	0	0	0	9	29	0	7	44	49	38	0	0	50	0	57	25	26	40	0	0	0	23	15	0	48	0	0	
0	11	0	56	0	16	0	0	0	0	0	0	0	0	5	0	20	0	0	12	0	0	0	41	31	55	51	0	33	13	59	0	9	29	45	0	44	0	38	0	52	0	46	57	25	26	0	43	0	30	23	0	0	48	0	0	28	60	10	6	62	0	0	53	
0	0	0	0	0	0	0	0	20	0	0	12	37	61	0	0	31	0	51	0	0	13	59	0	9	0	0	7	44	0	38	0	52	0	46	0	25	0	0	43	0	30	23	0	0	0	19	0	0	0	0	6	0	0	39	0	47	0	0	56	21	0	0	0	
20	35	3	12	0	0	14	41	31	55	0	0	33	13	59	0	0	0	0	7	0	0	0	0	0	50	46	0	0	0	40	0	0	0	0	0	18	0	0	22	0	0	0	0	0	63	39	53	0	11	2	56	0	0	17	54	0	4	58	32	0	64	0	0	
