5
7	17	0	24	0	0	14	6	8	23	11	0	0	0	0	16	15	0	0	0	0	0	3	5	0
0	14	6	8	23	0	0	0	21	0	16	0	0	25	0	19	13	0	0	0	7	0	2	0	0	
0	1	20	21	18	0	0	9	25	4	0	0	0	5	0	7	17	2	0	10	0	0	0	8	23	
16	15	9	25	0	0	13	0	0	12	0	17	0	24	10	0	0	0	8	0	11	1	0	21	18	
0	13	0	5	12	7	0	0	24	0	22	0	0	8	23	0	0	20	0	0	0	15	9	25	0	
0	0	0	10	0	0	6	0	0	22	1	0	0	0	0	0	0	25	4	0	13	3	0	12	0	
14	0	0	0	22	1	20	0	18	0	15	0	0	4	16	0	3	0	0	0	17	2	24	10	7	
1	20	21	0	0	0	0	25	0	16	13	0	0	0	0	17	2	0	0	7	0	6	8	0	0	
0	0	0	0	16	13	0	5	12	19	0	2	24	10	0	14	6	8	0	22	1	0	21	0	11	
13	3	0	12	0	17	0	0	10	7	0	6	8	0	22	1	0	21	18	0	0	0	0	4	16	
0	24	10	0	0	6	0	0	0	0	0	21	18	11	1	0	0	4	0	15	3	0	0	0	13	
6	8	0	22	14	0	0	18	0	0	0	25	4	0	0	3	5	0	19	13	0	0	0	0	17	
0	21	18	0	0	9	0	0	0	0	3	5	0	19	13	2	24	10	7	0	0	8	0	0	0	
0	25	4	16	15	0	0	12	0	13	0	0	10	7	17	0	8	23	22	0	20	21	0	11	0	
3	5	0	0	0	2	24	0	0	17	0	8	0	0	0	20	21	18	11	0	9	0	0	16	15	
24	0	7	0	0	0	0	0	0	6	21	0	11	1	20	25	0	16	15	0	0	12	0	0	3	
8	0	0	14	6	0	18	0	1	20	25	0	0	15	9	5	12	19	13	3	24	0	7	0	0	
0	18	0	1	20	0	0	0	15	0	0	12	0	13	3	0	0	0	0	0	8	0	0	14	0	
25	4	16	15	0	0	0	19	13	0	24	0	7	0	2	0	0	22	0	0	21	18	11	0	0	
0	0	19	0	0	24	0	7	17	0	0	23	22	0	6	0	0	11	1	0	25	0	16	15	9	
0	7	0	2	0	23	0	0	0	8	18	0	0	20	0	4	16	0	9	0	12	19	0	3	5	
23	22	0	6	8	18	0	1	0	0	0	0	0	9	25	0	0	0	0	0	0	0	0	2	24	
0	11	1	20	21	4	16	15	0	25	12	0	0	3	5	0	7	17	2	24	23	0	0	6	8	
0	0	15	9	0	12	0	13	3	0	10	7	0	0	0	0	0	0	0	8	0	11	1	0	21	
12	19	0	3	5	10	0	0	2	0	23	22	0	6	8	18	0	1	20	21	0	0	0	9	25	
